# x y z w pot
-7.0264174741 7.0264174741 7.7264211635 16.410319487 1
-6.7545976186 9.392238499 4.4779521469 15.574177962 1
-7.8578333025 7.8578333025 5.6619125096 16.237363356 1
-5.9808100604 8.7505113908 5.280806371 0.2078712154 1
-7.0264174741 7.0264174741 6.3264137846 0.020190448471 1
-6.2832131697 6.2832131697 4.6676025995 5.2334495897 1
-7.8578333025 7.8578333025 4.2619051308 0.76517041755 1
-9.392238499 6.7545976186 4.4779521469 15.574177962 1
-9.735211628 7.1866423019 1.999793881 12.486323613 1
-9.392238499 6.7545976186 3.077944768 2.0438506514 1
-9.735211628 7.1866423019 0.59978650214 6.8271240314 1
-8.6055687656 8.6055687656 0.70000368944 9.9402304165 1
-6.881110978 6.881110978 0.70000368944 3.3233042926 1
-6.7237339526 6.7237339526 1.3693392144 1.4282690644 1
-6.7237339526 6.7237339526 2.7693465933 4.7633222976 1
-6.2832131697 6.2832131697 3.2675952206 0.28696379438 1
-8.4087518826 8.4087518826 1.8879319965 4.097712728 1
-8.4087518826 8.4087518826 3.2879393754 14.61052228 1
-7.1866423019 9.735211628 0.59978650214 6.8271240314 1
-7.1866423019 9.735211628 1.999793881 12.486323613 1
-6.7545976186 9.392238499 3.077944768 2.0438506514 1
-3.4822207892 11.129236466 4.1822244787 14.155614822 1
-3.7779484575 9.392238499 6.0545939291 0.0436988337 1
-4.779519141 10.120475341 4.0795154516 0.89158824802 1
-4.779519141 10.120475341 5.4795228304 15.745922129 1
0.0 10.731766529 6.4394126082 15.750000078 1
-1.2997901916 9.735211628 6.4866386124 0.011594122953 1
0.0 10.731766529 5.0394052293 0.28885251435 1
-2.5007434649 10.575170587 6.1793902183 15.716592477 1
-2.5007434649 10.575170587 4.7793828394 0.40890785463 1
-1.2074904831 11.405597619 4.7701311143 14.119043403 1
-1.9996230091 8.4560270686 5.0813836799 5.060158681 1
0.0 8.58124297 5.2893005499 5.0690137551 1
-1.0393270683 7.7843863005 6.4465248765 5.2777987539 1
-0.8859254474 6.6354337592 5.5983552371 2.5749423276 1
-1.0393270683 7.7843863005 5.0465174977 0.0057772182728 1
-2.5750161058 6.4016663214 5.3038774192 2.5589281596 1
-2.5750161058 6.4016663214 3.9038700403 0.012291107061 1
-1.7044845294 7.2079423237 4.4347048693 2.4705890599 1
-1.4935253225 6.315835784 3.9724715166 1.4340097972 1
-0.82301478609 7.7739540109 3.4741663837 2.2356052739 1
-0.8859254474 6.6354337592 4.1983478582 0.003997711221 1
0.0 6.4093599726 4.1277653439 1.4357939669 1
0.0 7.3146767261 4.6119338203 2.4742272697 1
-0.96552316826 9.1200459984 3.9545240202 4.5643845892 1
0.0 8.58124297 3.889293171 0.11345221564 1
-1.9996230091 8.4560270686 3.681376301 0.15775497048 1
-2.7844234766 8.8990644671 3.4844271661 4.5891715753 1
-5.4010533285 7.5101410731 3.720894384 5.0414504197 1
-4.7823239678 6.997008755 4.0823202784 0.083279748741 1
-4.7823239678 6.997008755 5.4823276572 5.2505280906 1
-3.96759891 6.2832131697 5.5832094803 0.0001699543356 1
-3.0208906945 7.5101410731 6.101057018 5.2448935481 1
-3.8217580414 8.0924475611 4.5217617308 5.0775495656 1
-3.2576777858 6.8980260831 3.9576814753 2.4820450213 1
-3.0208906945 7.5101410731 4.7010496391 0.019381946259 1
-5.7465211871 7.7843863005 1.7393307578 4.1151758404 1
-5.7465211871 7.7843863005 0.33932337888 2.3245379672 1
-4.8983515477 6.6354337592 1.5859291368 2.0476796571 1
